VIN,Date,TotalVoltage,TotalCurrent,CellMaxVoltage,CellMinVoltage,MaxTemperature,MinTemperature,Label
B8Y3FXPDX7UV091TL,2019-10-05,349.15862635557016,-2.8342096615182384,3.6388800525796916,3.6265399277029253,31.96976667762077,29.58757804797897,0.0
B8Y3FXPDX7UV091TL,2019-10-06,385.0264957264956,5.6982905982905985,4.018307692307692,3.994213675213675,25.52991452991453,23.957264957264957,0.0
B8Y3FXPDX7UV091TL,2019-10-07,371.57198067632845,6.633333333333333,3.8768937198067634,3.8558067632850244,24.729468599033815,23.357487922705314,0.0
B8Y3FXPDX7UV091TL,2019-10-08,362.5954545454545,9.033333333333333,3.7822575757575763,3.761363636363636,25.96969696969697,24.0,0.0
B8Y3FXPDX7UV091TL,2019-10-09,357.9791666666667,5.004166666666666,3.734875,3.712229166666667,25.958333333333332,24.0,0.0
B8Y3FXPDX7UV091TL,2019-10-10,355.8005481120584,-2.268940316686967,3.7084652862362972,3.6943380024360537,29.32095006090134,26.866626065773445,0.0
B8Y3FXPDX7UV091TL,2019-10-11,nan,nan,nan,nan,nan,nan,nan
B8Y3FXPDX7UV091TL,2019-10-12,nan,nan,nan,nan,nan,nan,nan
B8Y3FXPDX7UV091TL,2019-10-13,nan,nan,nan,nan,nan,nan,nan
B8Y3FXPDX7UV091TL,2019-10-14,nan,nan,nan,nan,nan,nan,nan
B8Y3FXPDX7UV091TL,2019-10-15,nan,nan,nan,nan,nan,nan,nan
B8Y3FXPDX7UV091TL,2019-10-16,360.4306878306878,13.853703703703703,3.7588650793650795,3.738804232804233,28.12169312169312,26.43915343915344,0.0
B8Y3FXPDX7UV091TL,2019-10-17,348.71458124791457,-1.9487821154487819,3.6333316649983316,3.621735068401735,30.882215548882215,28.837504170837505,0.0
B8Y3FXPDX7UV091TL,2019-10-18,391.25,0.32142857142857145,4.083285714285714,4.061642857142857,24.714285714285715,22.464285714285715,0.0
B8Y3FXPDX7UV091TL,2019-10-19,nan,nan,nan,nan,nan,nan,nan
B8Y3FXPDX7UV091TL,2019-10-20,354.0199999999999,13.359,3.691964,3.672666,27.836,26.006,0.0
B8Y3FXPDX7UV091TL,2019-10-21,340.8697563874034,0.16446821152703492,3.5505650623885923,3.5399257278669043,31.338086749851456,29.574569221628046,0.0
B8Y3FXPDX7UV091TL,2019-10-22,349.57738053097347,-2.374867256637168,3.641972389380531,3.630972389380531,31.210973451327433,28.661238938053096,0.0
B8Y3FXPDX7UV091TL,2019-10-23,351.25353691534593,3.0700038654812523,3.6603621955933514,3.648505991495942,28.911093931194433,26.91959798994975,0.0
